species,inchi,smiles,mult,ANL1,ANL0,Ladder,Best
! These are all in kcal/mol.
CH2OO,"InChI=1S/CH2O2/c1-3-2/h1H2","C=[O+][O-]",1,26.56197741,26.00626878,25.82898611,26.56197741
OCH2OH,"InChI=1S/CH3O2/c2-1-3/h2H,1H2","[O]CO",2,0,-37.86988047,-38.21714563,-38.21714563
CH3OO,"InChI=1S/CH3O2/c1-3-2/h1H3","CO[O]",2,0,5.413323381,5.327035615,5.327035615
OHCH2OH,"InChI=1S/CH4O2/c2-1-3/h2-3H,1H2","OCO",1,0,-90.50066828,-90.4545394,-90.4545394
CH3OOH,"InChI=1S/CH4O2/c1-3-2/h2H,1H3","COO",1,0,-27.42139152,-27.34974463,-27.34974463
OCCHO,"InChI=1S/C2HO2/c3-1-2-4/h1H","[O]C=C=O",2,0,-15.1060193,-15.11809558,-15.11809558
CHCOO,"InChI=1S/C2HO2/c1-2-4-3/h1H","C#CO[O]",2,0,86.86574384,86.82701311,86.82701311
OCHCHO,"InChI=1S/C2H2O2/c3-1-2-4/h1-2H","O=CC=O",1,0,-49.68444017,-49.73845665,-49.73845665
c-C(O)OCH2,"InChI=1S/C2H2O2/c3-2-1-4-2/h1H2","O=C1CO1",1,0,-39.31244243,-39.30731637,-39.30731637
OHCCOH,"InChI=1S/C2H2O2/c3-1-2-4/h3-4H","OC#CO",1,0,-4.613792941,-4.520107038,-4.520107038
CC(OH)2,"InChI=1S/C2H2O2/c1-2(3)4/h3-4H","[C]=C(O)O",1,0,33.84980811,33.80857769,33.80857769
CH2C(O)OH,"InChI=1S/C2H3O2/c1-2(3)4/h1H2,(H,3,4)","[CH2]C(=O)O",2,0,-53.73123451,-53.80495143,-53.80495143
CH3C(O)O,"InChI=1S/C2H3O2/c1-2(3)4/h1H3","CC([O])=O",2,0,-43.54392527,-43.95525768,-43.95525768
OCHCH2O,"InChI=1S/C2H3O2/c3-1-2-4/h1H,2H2","[O]CC=O",2,0,-16.48945953,-16.90079193,-16.90079193
c-CH(CH2)OO,"InChI=1S/C2H3O2/c1-2-3-4-2/h2H,1H2","[CH2]C1OO1",2,0,38.51566658,38.52661021,38.52661021
c-CHOOCH2,"InChI=1S/C2H3O2/c1-2-4-3-1/h1H,2H2","[CH]1COO1",2,0,48.64811452,48.60693684,48.60693684
CH2CHOO,"InChI=1S/C2H3O2/c1-2-4-3/h2H,1H2","C=CO[O]",2,0,28.32950035,28.22491818,28.22491818
CHCHOOHa,"InChI=1S/C2H3O2/c1-2-4-3/h1-3H","[CH]=COO",2,0,55.10053957,55.08482717,55.08482717
CHCHOOHb,"InChI=1S/C2H3O2/c1-2-4-3/h1-3H","[CH]=COO",2,0,55.10053957,55.08482717,55.08482717
CH3C(O)OH,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)","CC(=O)O",1,0,-99.80634297,-99.82428134,-99.82428134
CH3OCHO,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3","COC=O",1,0,-82.53710663,-82.50399143,-82.50399143
CH2C(OH)2,"InChI=1S/C2H4O2/c1-2(3)4/h3-4H,1H2","C=C(O)O",1,0,-73.46674669,-73.43891222,-73.43891222
OCHCH2OH,"InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2","O=CCO",1,0,-72.56905088,-72.58698926,-72.58698926
OHCHCHOHa,"InChI=1S/C2H4O2/c3-1-2-4/h1-4H/b2-1+","O/C=C\O",1,0,-65.37122483,-65.34339036,-65.34339036
OHCHCHOHb,"InChI=1S/C2H4O2/c3-1-2-4/h1-4H/b2-1-","O/C=C\O",1,0,-65.37122483,-65.34339036,-65.34339036
CH3OCOH,"InChI=1S/C2H4O2/c1-4-2-3/h3H,1H3","C[O+]=[C-]O",1,0,-40.88345765,-40.95738055,-40.95738055
CH2CHOOH,"InChI=1S/C2H4O2/c1-2-4-3/h2-3H,1H2","C=COO",1,0,-6.383054893,-6.329702416,-6.329702416
CH3CHOO,"InChI=1S/C2H4O2/c1-2-4-3/h2H,1H3","CC=[O+][O-]",1,0,11.73771552,11.51553876,11.51553876
OHCHCH2OH,"InChI=1S/C2H5O2/c3-1-2-4/h1,3-4H,2H2","O[CH]CO",2,0,-46.86475626,-46.95451639,-46.95451639
CH3OCHOH,"InChI=1S/C2H5O2/c1-4-2-3/h2-3H,1H3","CO[CH]O",2,0,-40.86947933,-40.94340223,-40.94340223
OHCH2OCH2,"InChI=1S/C2H5O2/c1-4-2-3/h3H,1-2H2","[CH2]OCO",2,0,-39.85003956,-39.87184115,-39.87184115
OHCH2CH2O,"InChI=1S/C2H5O2/c3-1-2-4/h3H,1-2H2","[O]CCO",2,0,-35.17916199,-35.55441629,-35.55441629
CH3OCH2O,"InChI=1S/C2H5O2/c1-4-2-3/h2H2,1H3","COC[O]",2,0,-31.29068429,-31.61488501,-31.61488501
CH3CH2OO,"InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3","CCO[O]",2,0,-1.447791305,-1.562068212,-1.562068212
CH2CH2OOH,"InChI=1S/C2H5O2/c1-2-4-3/h3H,1-2H2","[CH2]COO",2,0,15.58470118,15.57258038,15.57258038
CH3CH2OOH,"InChI=1S/C2H6O2/c1-2-4-3/h3H,2H2,1H3","CCOO",1,0,-33.72236567,-33.67870793,-33.67870793
CH3OOCH3,"InChI=1S/C2H6O2/c1-3-4-2/h1-2H3","COOC",1,0,-24.22096759,-24.12625626,-24.12625626
OCCCO,"InChI=1S/C3O2/c4-2-1-3-5","O=C=C=C=O",1,0,-22.20233255,-22.26494871,-22.26494871
O3,"InChI=1S/O3/c1-3-2","O=[O+][O-]",1,34.53922957,34.31627194,34.09756754,34.53922957
 OOOH,"InChI=1S/HO3/c1-3-2/h1H","[O]OO",2,6.480464961,6.51911809,6.458348335,6.480464961
 OHOOH,"InChI=1S/H2O3/c1-3-2/h1-2H","OOO",1,-19.57367869,-19.66986046,-19.57269556,-19.57367869
 OC(O)O,"InChI=1S/CO3/c2-1(3)4","[O]C([O])=O",1,0,-35.12153671,-35.87520957,-35.87520957
 OHC(O)O,"InChI=1S/CHO3/c2-1(3)4/h(H,2,3)","[O]C(=O)O",2,0,-86.34145504,-86.70173387,-86.70173387
 OCHOO,"InChI=1S/CHO3/c2-1-4-3/h1H","[O]OC=O",2,0,-23.9778785,-24.07717994,-24.07717994
 OCOOH,"InChI=1S/CHO3/c2-1-4-3/h3H","O=[C]OO",2,0,-17.5216918,-17.45633473,-17.45633473
 OC(OH)2,"InChI=1S/CH2O3/c2-1(3)4/h(H2,2,3,4)","O=C(O)O",1,0,-143.9321229,-143.8990077,-143.8990077
 OCHOOH,"InChI=1S/CH2O3/c2-1-4-3/h1,3H","O=COO",1,0,-66.74049775,-66.68186454,-66.68186454
 c-CH(OH)OO,"InChI=1S/CH2O3/c2-1-3-4-1/h1-2H","OC1OO1",1,0,-51.8017664,-51.68399064,-51.68399064
 C(OH)3,"InChI=1S/CH3O3/c2-1(3)4/h2-4H","O[C](O)O",2,0,-95.85587698,-95.98192118,-95.98192118
 OHCH2OO,"InChI=1S/CH3O3/c2-1-4-3/h2H,1H2","[O]OCO",2,0,-36.84280316,-36.90602649,-36.90602649
 OCH2OOH,"InChI=1S/CH3O3/c2-1-4-3/h3H,1H2","[O]COO",2,0,-18.43888825,-18.73757096,-18.73757096
 CH3OOO,"InChI=1S/CH3O3/c1-3-4-2/h1H3","COO[O]",2,0,6.601232382,6.563527063,6.563527063
 CH(OH)3,"InChI=1S/CH4O3/c2-1(3)4/h1-4H","OC(O)O",1,0,-140.5319884,-140.4627951,-140.4627951
 OHCH2OOH,"InChI=1S/CH4O3/c2-1-4-3/h2-3H,1H2","OCOO",1,0,-71.61289438,-71.51818306,-71.51818306
 CH3OOOH,"InChI=1S/CH4O3/c1-3-4-2/h2H,1H3","COOO",1,0,-16.96737044,-16.84714111,-16.84714111
